image_id,filename,answer,type
0.jpg_exudate_type,train\images\0.jpg_exudate_type.jpg,Non-existent,original
0.jpg_exudate_type_aug_0,train\images\0_exudate_aug_0.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_1,train\images\0_exudate_aug_1.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_2,train\images\0_exudate_aug_2.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_3,train\images\0_exudate_aug_3.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_4,train\images\0_exudate_aug_4.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_5,train\images\0_exudate_aug_5.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_6,train\images\0_exudate_aug_6.jpg,Non-existent,augmented
0.jpg_exudate_type_aug_7,train\images\0_exudate_aug_7.jpg,Non-existent,augmented
2.jpg_exudate_type,train\images\2.jpg_exudate_type.jpg,Non-existent,original
2.jpg_exudate_type_aug_0,train\images\2_exudate_aug_0.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_1,train\images\2_exudate_aug_1.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_2,train\images\2_exudate_aug_2.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_3,train\images\2_exudate_aug_3.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_4,train\images\2_exudate_aug_4.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_5,train\images\2_exudate_aug_5.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_6,train\images\2_exudate_aug_6.jpg,Non-existent,augmented
2.jpg_exudate_type_aug_7,train\images\2_exudate_aug_7.jpg,Non-existent,augmented
5.jpg_exudate_type,train\images\5.jpg_exudate_type.jpg,Non-existent,original
5.jpg_exudate_type_aug_0,train\images\5_exudate_aug_0.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_1,train\images\5_exudate_aug_1.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_2,train\images\5_exudate_aug_2.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_3,train\images\5_exudate_aug_3.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_4,train\images\5_exudate_aug_4.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_5,train\images\5_exudate_aug_5.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_6,train\images\5_exudate_aug_6.jpg,Non-existent,augmented
5.jpg_exudate_type_aug_7,train\images\5_exudate_aug_7.jpg,Non-existent,augmented
6.jpg_exudate_type,train\images\6.jpg_exudate_type.jpg,Non-existent,original
6.jpg_exudate_type_aug_0,train\images\6_exudate_aug_0.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_1,train\images\6_exudate_aug_1.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_2,train\images\6_exudate_aug_2.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_3,train\images\6_exudate_aug_3.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_4,train\images\6_exudate_aug_4.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_5,train\images\6_exudate_aug_5.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_6,train\images\6_exudate_aug_6.jpg,Non-existent,augmented
6.jpg_exudate_type_aug_7,train\images\6_exudate_aug_7.jpg,Non-existent,augmented
8.jpg_exudate_type,train\images\8.jpg_exudate_type.jpg,Non-existent,original
8.jpg_exudate_type_aug_0,train\images\8_exudate_aug_0.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_1,train\images\8_exudate_aug_1.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_2,train\images\8_exudate_aug_2.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_3,train\images\8_exudate_aug_3.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_4,train\images\8_exudate_aug_4.jpg,Non-existent,augmented
8.jpg_exudate_type_aug_5,train\images\8_exudate_aug_5.jpg,Non-existent,augmented
